  1      LUNA (USES LUNA RANGER STATION)
       1       1
   33.49
    2003  37.6  35.0  37.4  43.5  53.7  58.5  69.3  64.9  59.9  52.0  39.7  31.8
    2004  33.7  30.1  42.9  44.3  53.5  61.9  66.7  63.1  56.1  47.0  36.9  31.7
    2005  34.4  35.7  37.7  44.7  55.8  62.1  68.4  62.8  60.3  48.5  37.0  38.6
    2006  34.6  42.2  39.4  48.5  57.3  66.5  68.3  62.2  54.0  47.9  37.4  27.2
    2007  25.1  37.1  40.5  47.7  54.6  64.3  69.8  74.1  57.4  51.0  45.1  33.0
    2008  32.5  36.9  39.7  44.9  51.2  63.9  66.4  65.7  58.0  48.5  41.1  36.4
    2009  40.4  41.1  46.7  48.8  61.7  63.7  67.4  68.1  60.9  47.9  46.3  32.7
    2010  34.7  36.0  42.4  50.0  50.3  66.5  71.1  73.3  67.3  56.8  41.3  37.9
    2011  30.3  32.4  43.0  48.6  50.4  61.0  67.6  67.6  59.1  48.7  38.6  28.9
    2012  35.3  35.2  39.4  47.5  53.8  63.5  67.8  65.9  58.7  49.5  40.8  32.0
    2013  27.2  31.2  41.6  46.8  52.5  63.6  67.4  64.6  59.4  45.5  39.7  33.4
    2014  34.8  39.3  41.0  45.2  50.7  61.5  67.0  62.6  62.1  51.1  39.8  35.2
    2015  35.3  40.5  43.1  44.8  56.3  65.1  70.9  72.4  68.6  56.0  42.4  34.7
    2016  35.1  41.1  45.4  49.0  55.1  66.9  72.9  66.0  62.3  54.2  43.4  38.0
    2017  35.0  39.7  43.0  50.0  56.1  66.5  69.8  66.7  61.8  54.5  47.8  36.3
    2018  37.0  39.8  45.7  53.1  61.5  76.3  75.8  72.6  68.0  50.7  40.2  36.2
    2019  36.3  34.5  43.3  49.1  51.7  62.3  69.5  69.1  62.5  49.8  42.8  35.2
    2020  34.9  38.5  45.5  53.1  63.3  70.8  73.7  73.3  65.4  54.5  43.6  32.7
    2021  34.2  38.4  43.3  53.6  62.2  73.7  71.2  68.4  64.9  52.0  44.5  38.5
    2022  34.6  32.9  40.0  48.7  57.3  65.9  69.8  66.9  62.8  49.3  35.9  34.7
    2023  30.5  32.4  39.5  48.2  55.8  62.3  73.4  67.7  62.8  53.2  42.4  35.9
    2024  32.3  37.8  40.0  46.5  54.2  67.9  69.6  68.6  62.5  54.3  37.3  37.7
    1968       5      26       5      26       9      16       9      16
    1969       5      15       5      15      10       5      10       6
    1970       5       8       6       2       9      23       9      23
    1971       6       5       6       6       9      20      10      19
    1972       5      24       5      26      10      20      10      22
    1973       6      20       6      23       9      27       9      27
    1974       5      21       5      21       9      28       9      28
    1975       6      26       6      27       9      23      10       5
    1976       6      12       6      13       9      30      10       8
    1977       5      27       5      29       9      18       9      25
    1978       5      20       6       5       9      27      10       5
    1979       5      25       5      25       9      27      10       5
    1980       6       3       6       8       9      22      10      16
    1981       5      18       6      17      10       4      10      17
    1982       6       2       6       9      10       2      10       2
    1983       5      21       6      20      10      12      10      12
    1984       5       8       5      10       9       6      10      14
